name,generic_name,manufacturer,purpose,warnings,route,dosage_form
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Psychiatric Disorders Amnesteem may cause depression, psychosis and, rarely, suicidal ideation, suicide attempts, suicide, and aggressive and/or violent behaviors. No mechanism of action has been established for these events (see ADVERSE REACTIONS: Psychiatric ). Prescribers should read the brochure, Recognizing Psychiatric Disorders in Adolescents and Young Adults: A Guide for Prescribers of Isotretinoin. Prescribers should be alert to the warning signs of psychiatric disorders to guide patients to receive the help they need. Therefore, prior to initiation of Amnesteem therapy, patients and family members should be asked about any history of psychiatric disorder, and at each visit during therapy patients should be assessed for symptoms of depression, mood disturbance, psychosis, or aggression to determine if further evaluation may be necessary. Signs and symptoms of depression, as described in the brochure (“Recognizing Psychiatric Disorders in Adolescents and Young Adults”), include sad mood, hopelessness, feelings of guilt, worthlessness or helplessness, loss of pleasure or interest in activities, fatigue, difficulty concentrating, change in sleep pattern, change in weight or appetite, suicidal thoughts or attempts, restlessness, irritability, acting on dangerous impulses, and persistent physical symptoms unresponsive to treatment. Patients should stop Amnesteem and the patient or a family member should promptly contact their prescriber if the patient develops depression, mood disturbance, psychosis, or aggression, without waiting until the next visit. Discontinuation of Amnesteem therapy may be insufficient; further evaluation may be necessary. While such monitoring may be helpful, it may not detect all patients at risk. Patients may report mental health problems or family history of psychiatric disorders. These reports should be discussed with the patient and/or the patient’s family. A referral to a mental health professional may be necessary. The physician should consider whether Amnesteem therapy is appropriate in this setting; for some patients the risks may outweigh the benefits of Amnesteem therapy. Pseudotumor Cerebri Amnesteem use has been associated with a number of cases of pseudotumor cerebri (benign intracranial hypertension), some of which involved concomitant use of tetracyclines. Concomitant treatment with tetracyclines should therefore be avoided. Early signs and symptoms of pseudotumor cerebri include papilledema, headache, nausea and vomiting, and visual disturbances. Patients with these symptoms should be screened for papilledema and, if present, they should be told to discontinue Amnesteem immediately and be referred to a neurologist for further diagnosis and care (see ADVERSE REACTIONS: Neurological ). Serious Skin Reactions There have been post-marketing reports of erythema multiforme and severe skin reactions [e.g., Stevens-Johnson Syndrome (SJS), toxic epidermal necrolysis (TEN)] associated with isotretinoin use. These events may be serious and result in death, life-threatening events, hospitalization or disability. Patients should be monitored closely for severe skin reactions and discontinuation of Amnesteem should be considered if warranted. Pancreatitis Acute pancreatitis has been reported in patients with either elevated or normal serum triglyceride levels. In rare instances, fatal hemorrhagic pancreatitis has been reported. Amnesteem should be stopped if hypertriglyceridemia cannot be controlled at an acceptable level or if symptoms of pancreatitis occur. Lipids Elevations of serum triglycerides in excess of 800 mg/dL have been reported in patients treated with Amnesteem. Marked elevations of serum triglycerides were reported in approximately 25% of patients receiving Amnesteem in clinical trials. In addition, approximately 15% developed a decrease in high-density lipoproteins and about 7% showed an increase in cholesterol levels. In clinical trials, the effects on triglycerides, HDL and cholesterol were reversible upon cessation of Amnesteem therapy. Some patients have been able to reverse triglyceride elevation by reduction in weight, restriction of dietary fat and alcohol, and reduction in dose while continuing Amnesteem. 5 Blood lipid determinations should be performed before Amnesteem is given and then at intervals until the lipid response to Amnesteem is established, which usually occurs within 4 weeks. Especially careful consideration must be given to risk/benefit for patients who may be at high risk during Amnesteem therapy (patients with diabetes, obesity, increased alcohol intake, lipid metabolism disorder or familial history of lipid metabolism disorder). If Amnesteem therapy is instituted, more frequent checks of serum values for lipids and/or blood sugar are recommended (see PRECAUTIONS: Laboratory Tests ). The cardiovascular consequences of hypertriglyceridemia associated with Amnesteem are unknown. Animal Studies In rats given 8 or 32 mg/kg/day of isotretinoin (1.3 to 5.3 times the recommended clinical dose of 1 mg/kg/day after normalization for total body surface area) for 18 months or longer, the incidences of focal calcification, fibrosis and inflammation of the myocardium, calcification of coronary, pulmonary and mesenteric arteries, and metastatic calcification of the gastric mucosa were greater than in control rats of similar age. Focal endocardial and myocardial calcifications associated with calcification of the coronary arteries were observed in two dogs after approximately 6 to 7 months of treatment with isotretinoin at a dosage of 60 to 120 mg/kg/day (30 to 60 times the recommended clinical dose of 1 mg/kg/day, respectively, after normalization for total body surface area). Hearing Impairment Impaired hearing has been reported in patients taking Amnesteem; in some cases, the hearing impairment has been reported to persist after therapy has been discontinued. Mechanism(s) and causality for this event have not been established. Patients who experience tinnitus or hearing impairment should discontinue Amnesteem treatment and be referred for specialized care for further evaluation (see ADVERSE REACTIONS: Special Senses ). Hepatotoxicity Clinical hepatitis considered to be possibly or probably related to Amnesteem therapy has been reported. Additionally, mild to moderate elevations of liver enzymes have been observed in approximately 15% of individuals treated during clinical trials, some of which normalized with dosage reduction or continued administration of the drug. If normalization does not readily occur or if hepatitis is suspected during treatment with Amnesteem, the drug should be discontinued and the etiology further investigated. Inflammatory Bowel Disease Amnesteem has been associated with inflammatory bowel disease (including regional ileitis) in patients without a prior history of intestinal disorders. In some instances, symptoms have been reported to persist after Amnesteem treatment has been stopped. Patients experiencing abdominal pain, rectal bleeding or severe diarrhea should discontinue Amnesteem immediately (see ADVERSE REACTIONS: Gastrointestinal ). Skeletal Bone Mineral Density Effects of multiple courses of Amnesteem on the developing musculoskeletal system are unknown. There is some evidence that long-term, high dose, or multiple courses of therapy with isotretinoin have more of an effect than a single course of therapy on the musculoskeletal system. In an open-label clinical trial (N = 217) of a single course of therapy with Amnesteem for severe recalcitrant nodular acne, bone density measurements at several skeletal sites were not significantly decreased (lumbar spine change > -4% and total hip change > -5%) or were increased in the majority of patients. One patient had a decrease in lumbar spine bone mineral density > 4% based on unadjusted data. Sixteen (7.9%) patients had decreases in lumbar spine bone mineral density > 4%, and all the other patients (92%) did not have significant decreases or had increases (adjusted for body mass index). Nine patients (4.5%) had a decrease in total hip bone mineral density > 5% based on unadjusted data. Twenty one (10.6%) patients had decreases in total hip bone mineral density > 5%, and all the other patients (89%) did not have significant decreases or had increases (adjusted for body mass index). Follow-up studies performed in eight of the patients with decreased bone mineral density for up to 11 months thereafter demonstrated increasing bone density in five patients at the lumbar spine, while the other three patients had lumbar spine bone density measurements below baseline values. Total hip bone mineral densities remained below baseline (range –1.6% to –7.6%) in five of eight patients (62.5%). In a separate open-label extension study of ten patients, ages 13 to 18 years, who started a second course of Amnesteem 4 months after the first course, two patients showed a decrease in mean lumbar spine bone mineral density up to 3.25% (see PRECAUTIONS: Pediatric Use ). Spontaneous reports of osteoporosis, osteopenia, bone fractures and delayed healing of bone fractures have been seen in the Amnesteem population. While causality to Amnesteem has not been established, an effect cannot be ruled out. Longer term effects have not been studied. It is important that Amnesteem be given at the recommended doses for no longer than the recommended duration. Hyperostosis A high prevalence of skeletal hyperostosis was noted in clinical trials for disorders of keratinization with a mean dose of 2.24 mg/kg/day. Additionally, skeletal hyperostosis was noted in six of eight patients in a prospective study of disorders of keratinization. 6 Minimal skeletal hyperostosis and calcification of ligaments and tendons have also been observed by x-ray in prospective studies of nodular acne patients treated with a single course of therapy at recommended doses. The skeletal effects of multiple Amnesteem treatment courses for acne are unknown. In a clinical study of 217 pediatric patients (12 to 17 years) with severe recalcitrant nodular acne, hyperostosis was not observed after 16 to 20 weeks of treatment with approximately 1 mg/kg/day of Amnesteem given in two divided doses. Hyperostosis may require a longer time frame to appear. The clinical course and significance remain unknown. Premature Epiphyseal Closure There are spontaneous reports of premature epiphyseal closure in acne patients receiving recommended doses of Amnesteem. The effect of multiple courses of Amnesteem on epiphyseal closure is unknown. Vision Impairment Visual problems should be carefully monitored. All Amnesteem patients experiencing visual difficulties should discontinue Amnesteem treatment and have an ophthalmological examination (see ADVERSE REACTIONS: Special Senses ). Corneal Opacities Corneal opacities have occurred in patients receiving Amnesteem for acne and more frequently when higher drug dosages were used in patients with disorders of keratinization. The corneal opacities that have been observed in clinical trial patients treated with Amnesteem have either completely resolved or were resolving at follow-up 6 to 7 weeks after discontinuation of the drug (see ADVERSE REACTIONS: Special Senses ). Decreased Night Vision Decreased night vision has been reported during Amnesteem therapy and in some instances the event has persisted after therapy was discontinued. Because the onset in some patients was sudden, patients should be advised of this potential problem and warned to be cautious when driving or operating any vehicle at night.",,
Foster and Thrive Dry Eye Relief,POLYETHYLENE GLYCOL 400,Strategic Sourcing Services LLC,Purpose Lubricant,"Warnings For external use only Do not use this product if solution changes color or becomes cloudy When using this product to avoid contamination, do not touch tip of container to any surface. Replace cap after using. remove contact lenses before using Stop use and ask a doctor if you experience eye pain changes in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away.",OPHTHALMIC,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Antigas,For internal use only,,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Antihistamine Antitussive Nasal Decongestant,"Warnings Do not exceed recommended dosage. Do not use this product if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have a breathing problem such as emphysema or chronic bronchitis glaucoma trouble urinating due to an enlarged prostate gland a cough that lasts or is chronic such as occurs with smoking, asthma or emphysema a cough that occurs with too much phlegm (mucus) heart disease high blood pressure thyroid disease diabetes Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers. When using this product excitability may occur, especially in children may cause marked drowsiness avoid alcoholic drinks alcohol, sedatives, and tranquilizers may increase the drowsiness effect be careful when driving a motor vehicle or operating machinery Stop use and ask a doctor if nervousness, dizziness, or sleeplessness occur cough or nasal congestion persists for more than 1 week, tends to recur, or is accompanied by a fever, rash, or persistent headache. A persistent cough may be a sign of a serious condition. new symptoms occur If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.",,
Foster and Thrive Advanced Relief Eye Drops,"POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",Strategic Sourcing Services LLC,Purposes Lubricant Redness reliever,"Warnings For external use only Ask a doctor before use if you have narrow angle glaucoma When using this product pupils may become enlarged temporarily to avoid contamination, do not touch tip of container to any surface. Replace cap after using. if solution changes color or becomes cloudy, do not use overuse may produce increased redness of the eye remove contact lenses before using Stop use and ask a doctor if you experience eye pain changes in vision continued redness or irritation of the eye, or if the condition worsens or persists for more than 72 hours If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away.",OPHTHALMIC,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Antimicrobial,"Warnings For external use only . When using this product, avoid contact with eyes. In case of eye contact flush eyes with water.Do not ingest. Stop use and ask a doctor if irritation or redness develops and conditions persist. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",,
UNKNOWN,UNKNOWN,UNKNOWN,"*Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","WARNINGS In case of overdose, get medical help or contact a poison control center right away. Keep out of the reach of children. If pregnant or breastfeeding, ask a healthcare professional before use.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Sunscreen,"Warnings For external use only. Stop use and ask doctor if rash occurs. Do not use on damaged or broken skin. When using this product keep out of eyes. Rinse with water to remove. Keep out of the reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Stop smoking aid,"Warnings If you are pregnant or breast-feeding, only use this medicine on the advice of your health care provider. Smoking can seriously harm your child. Try to stop smoking without using any nicotine replacement medicine. This medicine is believed to be safer than smoking. However, the risks to your child from this medicine are not fully known. Ask a doctor before use if you have a sodium-restricted diet heart disease, recent heart attack, or irregular heartbeat. Nicotine can increase your heart rate. high blood pressure not controlled with medication. Nicotine can increase your blood pressure. stomach ulcer or diabetes history of seizures Ask a doctor or pharmacist before use if you are using a non-nicotine stop smoking drug taking prescription medicine for depression or asthma. Your prescription dose may need to be adjusted. Stop use and ask a doctor if mouth problems occur persistent indigestion or severe sore throat occurs irregular heartbeat or palpitations occur you get symptoms of nicotine overdose such as nausea, vomiting, dizziness, diarrhea, weakness and rapid heartbeat you have symptoms of an allergic reaction (such as difficulty breathing or rash) Keep out of reach of children and pets. Nicotine lozenges may have enough nicotine to make children and pets sick. If you need to remove the lozenge, wrap it in paper and throw away in the trash. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away",,
Isopropyl Alcohol,ISOPROPYL ALCOHOL,Cariba International,Purpose First aid antiseptic,"Warnings For external use only Flammable Keep away from fire or flame, heat, spark, electrical Do not use as a fuel source",TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,Purposes Acetaminophen..................................Pain reliever/fever reducer Dextromethorphan HBr.....................Cough suppressant Phenylephrine HCI............................Nasal decongestant,"Warnings Liver warning : This product contains acetaminophen. Severe liver damage may occur if you take: • more than 6 doses (12 tablespoonfuls or 180 mL) in 24 hours for adults • more than 5 doses (5 tablespoonfuls or 75 mL) in 24 hours for children 6-12 years old • with other drugs containing acetaminophen • 3 or more alcoholic drinks everyday while using this product Sore throat warning : If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly.",,
UNKNOWN,UNKNOWN,UNKNOWN,USES To relieve the symptoms of sleeplessness.,"STOP USE AND ASK DOCTOR If symptoms persist/worsen or if pregnant/nursing, stop use and consult your practitioner.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS In patients on corticosteroid therapy subjected to unusual stress, increased dosage of rapidly acting corticosteroids before, during, and after the stressful situation is indicated. Corticosteroids may mask some signs of infection, and new infections may appear during their use. Infections with any pathogen including viral, bacterial, fungal, protozoan or helminthic infections, in any location of the body, may be associated with the use of corticosteroids alone or in combination with other immunosuppressive agents that affect cellular immunity, humoral immunity, or neutrophil function. 1 These infections may be mild, but can be severe and at times fatal. With increasing doses of corticosteroids, the rate of occurrence of infectious complications increases. 2 There may be decreased resistance and inability to localize infection when corticosteroids are used. Prolonged use of corticosteroids may produce posterior subcapsular cataracts, glaucoma with possible damage to the optic nerves, and may enhance the establishment of secondary ocular infections due to fungi or viruses. Usage in pregnancy Since adequate human reproduction studies have not been done with corticosteroids, the use of these drugs in pregnancy, nursing mothers or women of child-bearing potential requires that the possible benefits of the drug be weighed against the potential hazards to the mother and embryo or fetus. Infants born of mothers who have received substantial doses of corticosteroids during pregnancy, should be carefully observed for signs of hypoadrenalism. Average and large doses of hydrocortisone or cortisone can cause elevation of blood pressure, salt and water retention, and increased excretion of potassium. These effects are less likely to occur with the synthetic derivatives except when used in large doses. Dietary salt restriction and potassium supplementation may be necessary. All corticosteroids increase calcium excretion. Administration of live or live, attenuated vaccines is contraindicated in patients receiving immunosuppressive doses of corticosteroids. Killed or inactivated vaccines may be administered to patients receiving immunosuppressive doses of corticosteroids; however, the response to such vaccines may be diminished. Indicated immunization procedures may be undertaken in patients receiving nonimmunosuppressive doses of corticosteroids. The use of MEDROL Tablets in active tuberculosis should be restricted to those cases of fulminating or disseminated tuberculosis in which the corticosteroid is used for the management of the disease in conjunction with an appropriate antituberculous regimen. If corticosteroids are indicated in patients with latent tuberculosis or tuberculin reactivity, close observation is necessary as reactivation of the disease may occur. During prolonged corticosteroid therapy, these patients should receive chemoprophylaxis. Persons who are on drugs which suppress the immune system are more susceptible to infections than healthy individuals. Chicken pox and measles, for example, can have a more serious or even fatal course in non-immune children or adults on corticosteroids. In such children or adults who have not had these diseases particular care should be taken to avoid exposure. How the dose, route and duration of corticosteroid administration affects the risk of developing a disseminated infection is not known. The contribution of the underlying disease and/or prior corticosteroid treatment to the risk is also not known. If exposed, to chicken pox, prophylaxis with varicella zoster immune globulin (VZIG) may be indicated. If exposed to measles, prophylaxis with pooled intramuscular immunoglobulin (IG) may be indicated. (See the respective package inserts for complete VZIG and IG prescribing information.) If chicken pox develops, treatment with antiviral agents may be considered. Similarly, corticosteroids should be used with great care in patients with known or suspected Strongyloides (threadworm) infestation. In such patients, corticosteroid-induced immunosuppression may lead to Strongyloides hyperinfection and dissemination with widespread larval migration, often accompanied by severe enterocolitis and potentially fatal gram-negative septicemia.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WARNINGS,,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS DO NOT INJECT INTRAVENOUSLY. Epinephrine 1:1000 should be available. Concentrated extracts must be diluted with sterile diluent prior to first use on a patient for treatment or intradermal testing. All concentrates of glycerinated allergenic extracts have the ability to cause serious local and systemic reactions including death in sensitive patients. Sensitive patients may experience severe anaphylactic reactions resulting in respiratory obstruction, shock, coma and /or death. (4) (See Adverse Reactions) An allergenic extract should be temporarily withheld from patients or the dose of the extract adjusted downward if any of the following conditions exist: (1) Severe symptoms of rhinitis and/or asthma (2) Infections or flu accompanied by fever and (3) Exposure to excessive amounts of clinically relevant allergen prior to a scheduled injection. When switching patients to a new lot of the same extract the initial dose should be reduced 3/4 so that 25% of previous dose is administered.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Paradoxical Bronchospasm : In the clinical study of Ipratropium Bromide and Albuterol Sulfate Inhalation Solution, paradoxical bronchospasm was not observed. However, paradoxical bronchospasm has been observed with both inhaled ipratropium bromide and albuterol products and can be life-threatening. If this occurs, Ipratropium Bromide and Albuterol Sulfate Inhalation Solution should be discontinued immediately and alternative therapy instituted. Do Not Exceed Recommended Dose : Fatalities have been reported in association with excessive use of inhaled products containing sympathomimetic amines and with the home use of nebulizers. Cardiovascular Effect: Ipratropium Bromide and Albuterol Sulfate Inhalation Solution, like other beta-adrenergic agonists, can produce a clinically significant cardiovascular effect in some patients as measured by pulse rate, blood pressure, and/or symptoms. Although such effects are uncommon for Ipratropium Bromide and Albuterol Sulfate Inhalation Solution at recommended doses, if they occur, the drug may need to be discontinued. In addition, beta-agonists have been reported to produce ECG changes, such as flattening of the T-wave, prolongation of the QTc interval, and ST segment depression. The clinical significance of these findings is unknown. Therefore, Ipratropium Bromide and Albuterol Sulfate Inhalation Solution, like other sympathomimetic amines, should be used with caution in patients with cardiovascular disorders, especially coronary insufficiency, cardiac arrhythmias, and hypertension. Immediate Hypersensitivity Reactions: Immediate hypersensitivity reactions to albuterol and/or ipratropium bromide may occur after the administration of Ipratropium Bromide and Albuterol Sulfate Inhalation Solution as demonstrated by rare cases of urticaria, angioedema, rash, pruritus, oropharyngeal edema, bronchospasm, and anaphylaxis.",,
UNKNOWN,UNKNOWN,UNKNOWN,USES To relieve the symptoms of cough.,"STOP USE AND ASK DOCTOR If symptoms persist/worsen or if pregnant/nursing, stop use and consult your practitioner.",,
Fludrocortisone Acetate,FLUDROCORTISONE ACETATE,American Health Packaging,UNKNOWN,"WARNINGS BECAUSE OF ITS MARKED EFFECT ON SODIUM RETENTION THE USE OF FLUDROCORTISONE ACETATE IN THE TREATMENT OF CONDITIONS OTHER THAN THOSE INDICATED HEREIN IS NOT ADVISED. Corticosteroids may mask some signs of infection, and new infections may appear during their use. There may be decreased resistance and inability to localize infection when corticosteroids are used. If an infection occurs during fludrocortisone acetate therapy, it should be promptly controlled by suitable antimicrobial therapy. Prolonged use of corticosteroids may produce posterior subcapsular cataracts, glaucoma with possible damage to the optic nerves, and may enhance the establishment of secondary ocular infections due to fungi or viruses. Average and large doses of hydrocortisone or cortisone can cause elevation of blood pressure, salt and water retention, and increased excretion of potassium. These effects are less likely to occur with the synthetic derivatives except when used in large doses. However, since fludrocortisone acetate is a potent mineralocorticoid, both the dosage and salt intake should be carefully monitored in order to avoid the development of hypertension, edema or weight gain. Periodic checking of serum electrolyte levels is advisable during prolonged therapy; dietary salt restriction and potassium supplementation may be necessary. All corticosteroids increase calcium excretion. Patients should not be vaccinated against smallpox while on corticosteroid therapy. Other immunization procedures should not be undertaken in patients who are on corticosteroids, especially on high dose, because of possible hazards of neurological complications and a lack of antibody response. The use of fludrocortisone acetate in patients with active tuberculosis should be restricted to those cases of fulminating or disseminated tuberculosis in which the corticosteroid is used for the management of the disease in conjunction with an appropriate antituberculous regimen. If corticosteroids are indicated in patients with latent tuberculosis or tuberculin reactivity, close observation is necessary since reactivation of the disease may occur. During prolonged corticosteroid therapy these patients should receive chemoprophylaxis. Children who are on immunosuppressant drugs are more susceptible to infections than healthy children. Chicken pox and measles, for example, can have a more serious or even fatal course in children on immunosuppressant corticosteroids. In such children, or in adults who have not had these diseases, particular care should be taken to avoid exposure. If exposed, therapy with variicella zoster immune globulin (VZIG) or pooled intravenous immunoglobulin (IVIG), as appropriate, may be indicated. If chicken pox develops, treatment with antiviral agents may be considered.",ORAL,
